Property_ID,Location,BHK,Bathrooms,Furnishing_Status,Super_Builtup_Area,Carpet_Area,Property_Type,Age_of_Property,Floor,Total_Floors,Parking,Power_Backup,Gated_Security,Nearby_Metro,Nearby_School,Nearby_Hospital,Price_in_Lakhs
PROP0063,Sector 45,3,4,Unfurnished,3831,3194,Apartment,14,12,13,1,Yes,Yes,2.58,1.33,3.09,534.17
PROP0064,Sector 56,5,4,Fully-Furnished,1940,1636,Penthouse,4,17,21,0,No,No,2.85,0.55,4.7,610.58
PROP0065,DLF Phase 1,4,3,Fully-Furnished,2490,2045,Independent House,10,14,21,3,Yes,Yes,3.67,1.34,3.39,370.2
PROP0066,Sector 56,2,4,Fully-Furnished,1231,1010,Builder Floor,17,9,11,0,No,Yes,1.84,1.66,0.47,180.6
PROP0067,Palam Vihar,4,1,Fully-Furnished,1593,1335,Penthouse,12,15,17,0,Yes,Yes,3.1,0.17,2.36,319.78
PROP0068,Palam Vihar,2,1,Semi-Furnished,4088,3389,Independent House,10,11,12,0,No,No,2.97,1.39,4.47,517.06
PROP0069,Golf Course Road,5,4,Fully-Furnished,3803,3055,Builder Floor,13,19,21,3,Yes,Yes,2.78,2.37,0.56,647.93
PROP0070,Palam Vihar,2,2,Unfurnished,3292,2780,Independent House,17,4,12,2,Yes,No,3.24,2.07,4.95,322.14
PROP0071,Golf Course Road,3,4,Semi-Furnished,4562,3656,Penthouse,18,1,9,0,Yes,No,1.37,1.94,4.75,687.18
PROP0072,Palam Vihar,3,4,Fully-Furnished,3249,2720,Studio,14,9,17,1,No,No,0.51,2.74,0.48,327.19
PROP0073,DLF Phase 1,3,1,Unfurnished,2761,2313,Penthouse,8,0,1,3,Yes,No,0.68,0.15,4.67,389.64
PROP0074,Golf Course Road,3,3,Semi-Furnished,2229,1889,Apartment,7,6,7,1,Yes,No,1.2,1.72,1.88,311.63
PROP0075,Sector 57,4,1,Semi-Furnished,4749,3812,Independent House,19,16,20,0,No,Yes,2.55,2.38,4.24,806.93
PROP0076,Sushant Lok,5,3,Fully-Furnished,1147,951,Studio,0,15,21,1,No,Yes,4.22,1.67,2.15,160.16
PROP0077,Sector 45,2,1,Semi-Furnished,4709,3867,Independent House,3,2,10,0,Yes,No,3.54,1.04,2.26,1068.01
PROP0078,Palam Vihar,2,4,Unfurnished,4272,3488,Independent House,13,13,15,3,Yes,Yes,3.97,0.5,3.21,501.24
PROP0079,Sector 56,3,1,Semi-Furnished,1345,1082,Builder Floor,1,9,12,1,Yes,No,1.82,2.67,3.89,278.2
PROP0080,Palam Vihar,3,1,Unfurnished,3172,2626,Apartment,15,6,12,1,Yes,Yes,2.08,1.47,0.27,311.64
PROP0081,Sector 56,1,1,Semi-Furnished,4439,3657,Independent House,2,16,20,0,No,Yes,2.03,2.65,3.01,903.89
PROP0082,Sushant Lok,5,4,Fully-Furnished,3201,2577,Penthouse,7,5,7,0,Yes,Yes,1.04,1.8,1.01,726.85
PROP0083,Sushant Lok,4,4,Unfurnished,4610,3829,Penthouse,5,3,10,2,Yes,Yes,0.4,2.06,1.8,854.02
PROP0084,Sushant Lok,2,4,Semi-Furnished,4760,3983,Builder Floor,15,16,20,0,No,Yes,3.0,2.43,1.81,426.3
PROP0085,Sector 56,1,4,Semi-Furnished,2574,2157,Apartment,15,8,16,0,Yes,Yes,4.95,2.01,2.4,293.63
PROP0086,Palam Vihar,1,3,Semi-Furnished,2384,2015,Apartment,6,3,11,2,Yes,Yes,0.92,1.25,1.74,277.18
PROP0087,Sushant Lok,2,3,Unfurnished,4732,3882,Penthouse,12,6,13,0,Yes,Yes,0.33,1.59,0.63,646.06
PROP0088,DLF Phase 1,4,2,Unfurnished,3635,3081,Studio,12,1,10,0,No,Yes,3.92,2.43,0.81,284.88
PROP0089,Golf Course Road,1,4,Unfurnished,1287,1085,Builder Floor,4,16,20,2,No,Yes,1.34,1.18,0.26,165.99
PROP0090,Sector 56,1,3,Fully-Furnished,977,796,Builder Floor,19,7,14,3,Yes,Yes,4.17,1.23,2.4,121.47
PROP0091,Sector 56,5,1,Fully-Furnished,3171,2562,Penthouse,17,14,15,3,Yes,Yes,3.55,0.38,4.78,778.31
PROP0092,Palam Vihar,4,4,Unfurnished,4706,3867,Penthouse,14,14,18,0,No,Yes,4.73,2.75,0.67,679.46
PROP0093,Sector 56,1,2,Semi-Furnished,4345,3563,Studio,17,7,9,0,Yes,No,2.1,0.36,4.74,422.71
PROP0094,Sector 56,4,2,Fully-Furnished,3638,3015,Studio,1,15,24,2,Yes,Yes,3.34,1.98,3.69,742.26
PROP0095,Sushant Lok,2,2,Unfurnished,1384,1147,Apartment,9,18,23,2,No,Yes,2.38,1.3,3.22,121.22
PROP0096,Palam Vihar,3,1,Semi-Furnished,1867,1563,Builder Floor,12,10,13,3,No,Yes,3.19,1.28,3.26,217.88
PROP0097,Sushant Lok,1,3,Fully-Furnished,4477,3695,Builder Floor,17,1,5,1,No,Yes,2.3,2.07,4.15,375.91
PROP0098,Golf Course Road,5,1,Semi-Furnished,1567,1261,Penthouse,14,16,22,0,Yes,Yes,1.02,0.29,0.62,343.77
PROP0099,Golf Course Road,2,4,Semi-Furnished,1969,1659,Apartment,11,15,16,1,Yes,Yes,2.59,1.82,2.57,233.2
PROP0100,Sushant Lok,4,2,Semi-Furnished,1344,1096,Builder Floor,14,14,21,1,Yes,No,2.69,2.34,3.52,142.99
PROP0101,Golf Course Road,2,1,Semi-Furnished,3639,3087,Apartment,12,12,20,2,Yes,No,4.07,2.5,2.98,383.16
PROP0102,Palam Vihar,1,1,Fully-Furnished,4764,3839,Apartment,17,14,21,0,No,No,3.7,0.59,4.18,380.67
PROP0103,Sector 45,4,3,Fully-Furnished,1929,1635,Penthouse,14,3,10,0,Yes,Yes,3.35,2.7,0.45,519.58
PROP0104,Sushant Lok,3,3,Fully-Furnished,2796,2249,Apartment,10,15,24,2,Yes,Yes,0.66,2.0,3.48,334.62
PROP0105,DLF Phase 1,2,2,Unfurnished,3464,2811,Studio,18,11,15,1,No,Yes,3.63,2.66,2.72,192.94
PROP0106,DLF Phase 1,1,1,Fully-Furnished,4997,4009,Studio,2,3,10,2,No,No,2.55,1.51,1.96,456.38
PROP0107,Sector 56,5,1,Semi-Furnished,1240,1035,Independent House,6,2,11,3,Yes,Yes,4.48,1.67,1.77,321.7
PROP0108,Golf Course Road,4,3,Fully-Furnished,2893,2437,Penthouse,13,16,21,0,No,Yes,4.61,2.77,3.14,557.1
PROP0109,DLF Phase 1,2,1,Semi-Furnished,2417,1986,Independent House,13,17,19,3,No,No,0.37,2.71,4.47,247.44
PROP0110,Sector 56,2,1,Unfurnished,4436,3754,Studio,12,17,22,2,Yes,No,4.12,1.4,2.53,477.97
PROP0111,Sector 45,3,1,Semi-Furnished,2799,2321,Independent House,11,16,20,0,Yes,Yes,0.28,0.9,4.14,629.79
PROP0112,Palam Vihar,3,3,Semi-Furnished,1266,1052,Penthouse,8,11,19,3,Yes,Yes,1.9,1.24,2.07,243.3
PROP0113,Palam Vihar,5,2,Semi-Furnished,3464,2917,Penthouse,0,3,8,3,Yes,Yes,2.76,1.22,0.6,911.77
PROP0114,Palam Vihar,5,4,Unfurnished,4037,3289,Apartment,18,11,20,1,No,Yes,0.83,0.93,0.4,410.59
PROP0115,DLF Phase 1,1,2,Fully-Furnished,812,663,Builder Floor,10,19,28,0,No,No,3.76,0.88,0.35,75.29
PROP0116,Sector 45,1,4,Fully-Furnished,4407,3725,Apartment,18,14,17,3,Yes,Yes,0.14,2.6,1.96,582.36
PROP0117,DLF Phase 1,5,1,Unfurnished,1581,1336,Penthouse,17,15,21,3,Yes,Yes,0.93,0.3,1.75,217.46
PROP0118,Golf Course Road,5,2,Semi-Furnished,3118,2646,Studio,11,4,10,1,No,No,2.95,2.07,3.62,368.99
PROP0119,DLF Phase 1,4,4,Fully-Furnished,2546,2151,Studio,0,14,18,3,Yes,Yes,3.6,0.6,3.74,329.33
PROP0120,Sector 45,3,3,Unfurnished,3822,3081,Apartment,18,16,19,3,Yes,Yes,4.59,1.1,0.35,467.54
PROP0121,Sector 45,1,3,Fully-Furnished,2358,1983,Penthouse,19,17,18,3,Yes,No,3.56,0.28,1.18,414.49
PROP0122,Golf Course Road,3,2,Unfurnished,4453,3653,Studio,16,4,11,1,Yes,No,3.39,0.88,1.44,389.71
PROP0123,Sector 45,3,2,Semi-Furnished,3868,3286,Penthouse,4,12,17,3,No,Yes,2.03,2.33,2.78,1087.87
PROP0124,Sector 45,5,1,Fully-Furnished,3520,2899,Studio,2,18,25,3,Yes,No,0.11,2.67,0.81,824.99
PROP0125,Palam Vihar,4,2,Unfurnished,4144,3429,Penthouse,1,12,13,0,No,No,0.69,0.74,0.76,861.49
PROP0126,Golf Course Road,2,1,Fully-Furnished,3966,3277,Independent House,2,17,25,0,Yes,Yes,2.72,1.44,4.72,802.69
PROP0127,Sector 57,4,1,Fully-Furnished,950,775,Penthouse,7,13,16,1,Yes,No,3.41,1.46,4.04,279.92
PROP0128,Sector 57,4,3,Fully-Furnished,2457,1974,Penthouse,15,3,10,2,No,Yes,2.15,2.63,0.99,617.03
PROP0129,Sector 45,3,3,Fully-Furnished,4709,3978,Apartment,5,3,6,0,Yes,Yes,3.68,2.31,2.09,962.32
PROP0130,Sector 57,4,4,Unfurnished,1328,1115,Independent House,12,19,22,1,No,Yes,2.66,1.59,1.84,259.24
PROP0131,Sector 57,1,3,Semi-Furnished,3895,3143,Builder Floor,15,19,28,3,Yes,Yes,0.46,2.05,3.98,547.91
PROP0132,Sector 45,3,3,Unfurnished,4893,4104,Apartment,15,18,20,3,Yes,No,1.04,2.56,2.6,647.36
PROP0133,Sector 57,1,2,Unfurnished,1019,847,Builder Floor,2,12,16,1,Yes,Yes,4.22,0.13,0.73,174.09
PROP0134,DLF Phase 1,2,3,Unfurnished,3665,3006,Studio,12,11,17,3,Yes,Yes,3.65,1.27,3.72,255.4
PROP0135,Sector 56,3,4,Semi-Furnished,2766,2247,Builder Floor,13,6,9,3,Yes,Yes,4.48,2.73,2.04,436.54
PROP0136,Golf Course Road,2,2,Fully-Furnished,3232,2724,Penthouse,7,11,18,2,No,Yes,0.68,2.25,1.39,689.5
PROP0137,Sector 56,3,4,Fully-Furnished,1158,966,Builder Floor,11,3,10,3,No,No,4.95,1.67,1.94,190.9
PROP0138,Sector 45,5,3,Fully-Furnished,980,810,Apartment,7,1,6,0,Yes,No,1.13,1.64,2.54,222.37
PROP0139,Palam Vihar,4,4,Semi-Furnished,3600,2989,Apartment,8,1,4,3,Yes,No,0.16,1.11,1.78,492.28
PROP0140,Golf Course Road,5,2,Fully-Furnished,4257,3424,Builder Floor,0,4,6,1,No,Yes,4.99,1.61,1.29,890.1
PROP0141,Sector 45,2,1,Semi-Furnished,4084,3363,Apartment,5,9,13,2,No,No,1.48,2.0,2.05,673.37
PROP0142,Palam Vihar,4,4,Fully-Furnished,3083,2496,Apartment,18,9,13,3,Yes,No,3.37,1.31,0.19,332.47
PROP0143,Sector 56,3,4,Fully-Furnished,1219,987,Builder Floor,10,8,16,1,Yes,Yes,0.97,2.17,3.89,241.16
PROP0144,Sector 45,4,2,Unfurnished,3689,3073,Independent House,10,12,20,0,No,No,2.94,2.6,0.94,726.74
PROP0145,Golf Course Road,1,2,Semi-Furnished,1815,1534,Independent House,12,6,11,3,Yes,Yes,4.53,0.55,0.32,248.08
PROP0146,Golf Course Road,4,4,Unfurnished,4626,3794,Studio,10,4,10,2,No,No,1.67,1.41,3.3,494.31
PROP0147,Sushant Lok,1,3,Unfurnished,4320,3500,Apartment,17,9,17,3,Yes,No,3.38,1.28,3.89,271.47
PROP0148,DLF Phase 1,4,4,Unfurnished,3779,3145,Builder Floor,14,9,10,1,No,No,1.02,2.09,4.09,336.85
PROP0149,Sector 57,1,2,Semi-Furnished,4785,4036,Apartment,0,5,10,2,No,No,3.16,0.82,2.52,770.64
PROP0150,Palam Vihar,2,1,Semi-Furnished,931,779,Penthouse,6,18,22,3,Yes,Yes,1.75,1.96,1.11,173.99
PROP0151,Sushant Lok,5,1,Fully-Furnished,3892,3282,Apartment,12,7,11,0,No,Yes,1.13,2.64,3.71,477.34
PROP0152,Sector 57,3,3,Unfurnished,2187,1808,Apartment,11,0,2,2,Yes,No,1.63,1.31,3.53,315.17
PROP0153,Sector 57,4,4,Fully-Furnished,4605,3857,Independent House,17,16,17,0,Yes,Yes,0.98,2.74,1.31,1012.08
PROP0154,Sector 45,5,1,Unfurnished,1920,1549,Builder Floor,18,6,12,1,Yes,No,4.52,2.98,4.53,267.24
PROP0155,Sector 57,3,4,Semi-Furnished,3844,3142,Apartment,14,13,20,3,Yes,No,2.05,0.41,0.61,579.72
PROP0156,DLF Phase 1,3,2,Semi-Furnished,4486,3676,Independent House,7,16,21,0,No,No,1.3,0.78,4.92,575.9
PROP0157,Golf Course Road,1,1,Semi-Furnished,974,804,Studio,18,8,16,1,Yes,No,2.3,2.86,4.32,72.7
PROP0158,Sushant Lok,2,3,Unfurnished,2470,2090,Independent House,9,16,25,3,Yes,No,1.67,2.88,3.47,280.15
PROP0159,Sector 57,2,2,Semi-Furnished,4001,3375,Independent House,6,4,6,1,Yes,No,3.75,0.38,4.7,818.72
PROP0160,Sector 45,5,3,Unfurnished,2710,2186,Independent House,17,19,23,0,Yes,Yes,4.86,0.14,3.64,497.71
PROP0161,DLF Phase 1,2,2,Fully-Furnished,1922,1554,Apartment,15,7,16,1,No,Yes,2.25,0.57,1.03,167.07
PROP0162,Sector 56,4,1,Unfurnished,1723,1409,Apartment,19,5,10,2,Yes,No,4.32,2.99,2.27,192.83
PROP0163,Golf Course Road,2,3,Fully-Furnished,1352,1101,Studio,5,10,13,3,No,Yes,2.87,0.62,0.45,177.63
PROP0164,Golf Course Road,5,3,Unfurnished,4399,3654,Penthouse,8,18,24,1,No,No,0.87,1.56,2.01,906.51
PROP0165,Sushant Lok,2,2,Fully-Furnished,3216,2717,Penthouse,12,3,6,0,No,Yes,3.48,2.56,3.73,450.83
PROP0166,Golf Course Road,4,3,Semi-Furnished,1120,949,Penthouse,7,17,22,3,Yes,Yes,2.62,0.16,1.99,261.66
PROP0167,Sector 57,1,2,Fully-Furnished,2406,2003,Studio,15,0,3,2,Yes,Yes,3.29,1.85,1.72,292.13
PROP0168,Sector 45,5,2,Semi-Furnished,2344,1973,Penthouse,12,12,18,3,Yes,No,4.46,0.9,3.02,603.79
PROP0169,Golf Course Road,1,2,Semi-Furnished,1563,1291,Penthouse,12,13,18,2,Yes,Yes,2.26,2.6,4.37,243.18
PROP0170,Golf Course Road,1,2,Fully-Furnished,2629,2130,Independent House,16,0,9,3,No,No,4.52,0.92,0.33,316.99
PROP0171,Sector 56,1,1,Unfurnished,2194,1812,Apartment,19,10,13,1,No,No,3.78,2.09,1.99,188.17
PROP0172,Sector 56,3,2,Unfurnished,2235,1850,Apartment,4,16,22,1,Yes,No,2.49,2.06,0.88,367.04
PROP0173,Palam Vihar,3,4,Unfurnished,3903,3267,Independent House,16,3,11,0,Yes,Yes,3.06,0.74,3.51,462.34
PROP0174,DLF Phase 1,1,3,Unfurnished,1737,1408,Independent House,8,11,18,2,Yes,Yes,1.7,0.2,0.62,192.6
PROP0175,Sector 57,5,4,Unfurnished,3495,2860,Independent House,1,9,15,0,Yes,Yes,4.92,1.29,3.36,930.71
PROP0176,Golf Course Road,4,1,Semi-Furnished,3196,2614,Apartment,17,5,7,1,Yes,No,3.37,0.94,1.5,357.04
PROP0177,Golf Course Road,4,4,Unfurnished,3185,2700,Penthouse,8,0,7,2,Yes,No,0.31,2.45,1.07,650.85
PROP0178,Sector 45,2,3,Semi-Furnished,3584,2946,Independent House,5,6,14,0,Yes,Yes,1.7,2.42,4.69,816.87
PROP0179,Palam Vihar,5,4,Semi-Furnished,3103,2599,Studio,10,15,16,0,No,No,3.15,1.43,0.19,353.36
PROP0180,DLF Phase 1,3,1,Semi-Furnished,4492,3762,Independent House,5,13,22,0,No,Yes,0.38,1.86,2.25,656.54
PROP0181,Palam Vihar,1,2,Fully-Furnished,3637,2957,Builder Floor,5,19,23,0,No,Yes,0.22,1.85,0.21,506.01
PROP0182,Sushant Lok,2,4,Fully-Furnished,3097,2566,Independent House,12,19,27,0,No,Yes,2.31,2.5,2.47,391.01
PROP0183,DLF Phase 1,4,1,Semi-Furnished,4285,3619,Apartment,10,5,12,2,Yes,Yes,1.73,1.33,2.56,472.1
PROP0184,Golf Course Road,3,1,Fully-Furnished,3345,2755,Independent House,13,4,11,0,Yes,No,2.25,0.9,1.68,564.2
PROP0185,Golf Course Road,3,3,Unfurnished,2022,1713,Builder Floor,1,17,19,2,Yes,Yes,1.39,0.87,0.75,343.75
PROP0186,DLF Phase 1,1,3,Unfurnished,1669,1353,Studio,7,14,15,0,Yes,Yes,0.91,1.65,1.94,129.63
PROP0187,Golf Course Road,4,4,Semi-Furnished,1439,1156,Penthouse,2,5,9,1,Yes,Yes,3.48,1.4,3.39,358.69
PROP0188,Sector 57,5,2,Unfurnished,4577,3865,Independent House,2,18,20,1,No,Yes,2.62,1.38,3.93,1187.0
PROP0189,DLF Phase 1,3,1,Semi-Furnished,3782,3185,Builder Floor,0,0,8,0,Yes,Yes,1.08,0.36,2.7,543.69
PROP0190,Palam Vihar,1,4,Semi-Furnished,4736,4023,Builder Floor,18,0,7,3,No,Yes,1.67,2.18,2.99,404.02
PROP0191,DLF Phase 1,5,1,Unfurnished,3333,2779,Studio,17,12,20,1,Yes,Yes,3.0,0.72,1.08,264.14
PROP0192,Golf Course Road,4,1,Fully-Furnished,2788,2360,Apartment,16,2,8,2,No,No,0.45,0.67,1.51,355.21
PROP0193,Sector 57,3,2,Unfurnished,1050,883,Independent House,19,9,10,0,Yes,No,0.82,1.3,0.89,163.35
PROP0194,Sector 57,5,2,Unfurnished,3620,3048,Builder Floor,12,2,11,2,No,No,0.46,0.76,1.32,647.3
PROP0195,Sushant Lok,5,4,Semi-Furnished,3245,2688,Studio,2,8,14,3,Yes,No,4.08,1.79,1.2,403.36
PROP0196,Palam Vihar,5,2,Semi-Furnished,4958,4061,Penthouse,0,7,8,0,Yes,Yes,3.79,1.18,2.65,1250.73
PROP0197,Sector 56,3,2,Semi-Furnished,1804,1527,Builder Floor,3,2,3,1,Yes,No,3.79,1.4,2.86,351.48
PROP0198,Sector 56,3,4,Semi-Furnished,3029,2488,Studio,12,12,20,2,Yes,No,3.61,1.66,4.73,383.35
PROP0199,DLF Phase 1,2,2,Fully-Furnished,3534,2922,Apartment,16,5,11,1,No,No,3.38,0.69,1.06,277.06
PROP0200,Sushant Lok,4,3,Fully-Furnished,3507,2883,Apartment,10,12,20,1,Yes,Yes,2.44,0.55,3.24,443.23
PROP0201,Sector 45,1,1,Fully-Furnished,3157,2614,Builder Floor,1,19,27,0,No,No,3.25,2.65,4.1,584.26
PROP0202,DLF Phase 1,5,1,Semi-Furnished,4063,3345,Builder Floor,15,19,27,2,Yes,No,0.29,1.36,2.85,451.28
PROP0203,Sushant Lok,2,1,Semi-Furnished,1660,1331,Independent House,1,11,18,3,No,Yes,3.15,1.3,1.35,249.19
